Tip ustanove:;Osnovna škola;;;;;;
Županija:;Osječko-Baranjska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Šećerana;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
5751;EUREKA! 3 : udžbenik prirode i društva s višemedijskim nastavnim materijalima u trećem razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;udžbenik s višemedijskim nastavnim materijalima;57,00;ŠK;Novo;3. razred osnovne škole
5752;EUREKA! 3 : radna bilježnica za prirodu i društvo u trećem razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;radna bilježnica;68,00;ŠK;Novo;3. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5611;RAZIGRANI ZVUCI 3 : udžbenik glazbene kulture s višemedijskim nastavnim materijalima na 2 CD-a u trećem razredu osnovne škole;Vladimir Jandrašek, Jelena Ivaci;udžbenik s 2 CD-a;57,00;ŠK;Novo;3. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4859;ZA STOLOM LJUBAVI I POMIRENJA : udžbenik za katolički vjeronauk trećega razreda osnovne škole;Ivica Pažin, Ante Pavlović i drugi;udžbenik;36,00;KS;Novo;3. razred osnovne škole
4860;ZA STOLOM LJUBAVI I POMIRENJA : radna bilježnica za katolički vjeronauk trećega razreda osnovne škole;Ivica Pažin, Ante Pavlović i drugi;radna bilježnica;34,00;KS;Novo;3. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST I JEZIK ;;;;;;;
3890;ZLATNA VRATA 3 : udžbenik hrvatskog jezika u 3. razredu osnovne škole : čitanka s pravopisom i gramatikom;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;63,00;ŠK;;3. razred osnovne škole
3574;ZLATNA VRATA 3 : radna bilježnica hrvatskog jezika u 3. razredu osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;49,00;ŠK;;3. razred osnovne škole
Osnovna škola - redovni program - 4. razred osnovne škole ;;;;;;;
HRVATSKI JEZIK - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
704;POČETNICA ŠAPTALICA 3 : udžbenik za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;udžbenik;62,00;ŠK;;4. razred osnovne škole
706;RADNA BILJEŽNICA 2 : pisana slova : radna bilježnica za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;radna bilježnica;49,00;ŠK;;4. razred osnovne škole
MATEMATIKA ;;;;;;;
5689;MOJ SRETNI BROJ 4 : radna bilježnica za matematiku u četvrtom razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;radna bilježnica;59,00;ŠK;Novo;4. razred osnovne škole
5688;MOJ SRETNI BROJ 4 : udžbenik matematike s višemedijskim nastavnim materijalima u četvrtom razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;udžbenik s višemedijskim nastavnim materijalima;60,00;ŠK;Novo;4. razred osnovne škole
MATEMATIKA - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
2848;MOJ MALI MATEMATIČKI SVIJET 4 : udžbenik s radnom bilježnicom, I. dio;Biljana Basarić Čulk, Kristina Kostadinovska, Ivan Mrkonjić, Đurđica Salamon;udžbenik s radnom bilježnicom;95,00;ALKA;;4. razred osnovne škole
2849;MOJ MALI MATEMATIČKI SVIJET 4 : udžbenik s radnom bilježnicom, II. dio;Biljana Basarić Čulk, Kristina Kostadinovska, Ivan Mrkonjić, Đurđica Salamon;udžbenik s radnom bilježnicom;95,00;ALKA;;4. razred osnovne škole
PRIRODA I DRUŠTVO ;;;;;;;
5754;EUREKA! 4 : radna bilježnica za prirodu i društvo u četvrtom razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;radna bilježnica;68,00;ŠK;Novo;4. razred osnovne škole
5753;EUREKA! 4 : udžbenik prirode i društva s višemedijskim nastavnim materijalima u četvrtom razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;udžbenik s višemedijskim nastavnim materijalima;57,00;ŠK;Novo;4. razred osnovne škole
PRIRODA I DRUŠTVO - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
4014;VOLIM ZAVIČAJ 4 : udžbenik s radnom bilježnicom;Nives Čagalj, Milica Duvnjak, Marija Petričević;udžbenik s radnom bilježnicom;125,00;ALKA;;4. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
4541;SVIJET GLAZBE 4 : udžbenik za glazbenu kulturu u četvrtom razredu osnovne škole (s CD-om);Ante Gašpardi, Tonka Lazarić, Nevenka Raguž, Zoran Štefanac;udžbenik;70,00;ALFA;Novo;4. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4862;NA PUTU VJERE : radna bilježnica za katolički vjeronauk četvrtoga razreda osnovne škole;Ivica Pažin, Ante Pavlović;radna bilježnica;30,00;KS;Novo;4. razred osnovne škole
4861;NA PUTU VJERE : udžbenik za katolički vjeronauk četvrtoga razreda osnovne škole;Ivica Pažin i Ante Pavlović;udžbenik;40,00;KS;Novo;4. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST I JEZIK ;;;;;;;
3891;ZLATNA VRATA 4 : udžbenik hrvatskog jezika u 4. razredu osnovne škole : čitanka s pravopisom i gramatikom;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;63,00;ŠK;;4. razred osnovne škole
3575;ZLATNA VRATA 4 : radna bilježnica hrvatskog jezika u 4. razredu osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;49,00;ŠK;;4. razred osnovne škole
ENGLESKI JEZIK - IV. GODINA UČENJA, I. STRANI JEZIK ;;;;;;;
5569;DIP IN 4 : udžbenik engleskog jezika s višemedijskim nastavnim materijalima u četvrtom razredu osnovne škole - 4. godina učenja;Suzana Ban, Dubravka Blažić;udžbenik s višemedijskim nastavnim materijalima;67,00;ŠK;Novo;4. razred osnovne škole
5570;DIP IN 4 : radna bilježnica za engleski jezik u četvrtom razredu osnovne škole - 4. godina učenja;Suzana Ban, Dubravka Blažić;radna bilježnica;59,00;ŠK;Novo;4. razred osnovne škole
Osnovna škola - redovni program - 5. razred osnovne škole ;;;;;;;
MATEMATIKA ;;;;;;;
5254;MATEMATIKA 5 : udžbenik i zbirka zadataka iz matematike za peti razred osnovne škole, 2. polugodište;Branko Goleš, Luka Krnić, Zlatko Lobor, Zvonimir Šikić;udžbenik sa zbirkom zadataka;62,00;PROFIL;Novo;5. razred osnovne škole
5253;MATEMATIKA 5 : udžbenik i zbirka zadataka iz matematike za peti razred osnovne škole, 1. polugodište;Branko Goleš, Luka Krnić, Zlatko Lobor, Zvonimir Šikić;udžbenik sa zbirkom zadataka;63,00;PROFIL;Novo;5. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
4542;SVIJET GLAZBE 5 : udžbenik za glazbenu kulturu u petom razredu osnovne škole (s CD-om);Ante Gašpardi, Tonka Lazarić, Nevenka Raguž, Zoran Štefanac;udžbenik;69,00;ALFA;Novo;5. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4864;JA SAM PUT : radna bilježnica za katolički vjeronauk petoga razreda osnovne škole;Ružica Razum, Martina Rašpolić, Verica Razum Hrmo;radna bilježnica;34,00;KS;Novo;5. razred osnovne škole
4863;JA SAM PUT : udžbenik za katolički vjeronauk petoga razreda osnovne škole;Ružica Razum i autorski tim;udžbenik;40,00;KS;Novo;5. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST ;;;;;;;
5197;LJUBIČASTA ČITANKA : čitanka za peti razred osnovne škole;Julijana Levak, Iva Močibob, Jasmina Sandalić, Irena Skopljak Barić;udžbenik;75,00;PROFIL;Novo;5. razred osnovne škole
HRVATSKI JEZIK - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
5201;RIJEČI HRVATSKE 5 : udžbenik hrvatskoga jezika za peti razred osnovne škole;Ela Družijanić Hajdarević, Gordana Lovrenčić-Rojc, Zorica Lugarić, Valentina Lugomer;udžbenik;57,00;PROFIL;Novo;5. razred osnovne škole
5202;RIJEČI HRVATSKE 5 : radna bilježnica iz hrvatskoga jezika za peti razred osnovne škole;Ela Družijanić Hajdarević, Gordana Lovrenčić-Rojc, Zorica Lugarić, Valentina Lugomer;radna bilježnica;47,00;PROFIL;Novo;5. razred osnovne škole
ENGLESKI JEZIK - V. GODINA UČENJA, I. STRANI JEZIK ;;;;;;;
5582;DIP IN 5 : radna bilježnica za engleski jezik u petom razredu osnovne škole - 5. godina učenja;Suzana Ban;radna bilježnica;59,00;ŠK;Novo;5. razred osnovne škole
5581;DIP IN 5 : udžbenik engleskog jezika s višemedijskim nastavnim materijalima u petom razredu osnovne škole - 5. godina učenja;Suzana Ban;udžbenik s višemedijskim nastavnim materijalima;67,00;ŠK;Novo;5. razred osnovne škole
NJEMAČKI JEZIK - II. GODINA UČENJA, II. STRANI JEZIK ;;;;;;;
5708;FLINK MIT DEUTSCH - NEU! 2 : udžbenik njemačkog jezika s višemedijskim nastavnim materijalima u petom razredu osnovne škole - 2. godina učenja;Jadranka Salopek, Plamenka Bernardi-Britvec, Jasmina Troha;udžbenik s višemedijskim nastavnim materijalima;64,00;ŠK;Novo;5. razred osnovne škole
5709;FLINK MIT DEUTSCH - NEU! 2 : radna bilježnica za njemački jezik u petom razredu osnovne škole - 2. godina učenja;Jadranka Salopek, Plamenka Bernardi-Britvec, Jasmina Troha;radna bilježnica;49,00;ŠK;Novo;5. razred osnovne škole
PRIRODA ;;;;;;;
