Tip ustanove:;Osnovna škola;;;;;;
Županija:;Vukovarsko-Srijemska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Bartola Kašića;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
10;HURRA! DEUTSCH! 3 : udžbenik njemačkog jezika s interaktivnim CD-om za 3. razred osnovne škole : III. godina učenja;Jadranka Salopek, Ljerka Tomljenović Biškupić;udžbenik s CD-om;60,00;ŠK;;3. razred osnovne škole
MATEMATIKA ;;;;;;;
5686;MOJ SRETNI BROJ 3 : udžbenik matematike s višemedijskim nastavnim materijalima u trećem razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;udžbenik s višemedijskim nastavnim materijalima;60,00;ŠK;Novo;3. razred osnovne škole
5687;MOJ SRETNI BROJ 3 : radna bilježnica za matematiku u trećem razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;radna bilježnica;59,00;ŠK;Novo;3. razred osnovne škole
PRIRODA I DRUŠTVO ;;;;;;;
5743;NAŠ SVIJET 3 : udžbenik prirode i društva s višemedijskim nastavnim materijalima u trećem razredu osnovne škole;Alena Letina, Tamara Kisovar Ivanda, Ivo Nejašmić, Ivan De Zan;udžbenik s višemedijskim nastavnim materijalima;55,00;ŠK;Novo;3. razred osnovne škole
5744;NAŠ SVIJET 3 : radna bilježnica za prirodu i društvo u trećem razredu osnovne škole;Alena Letina, Tamara Kisovar Ivanda, Ivo Nejašmić, Ivan De Zan;radna bilježnica;59,00;ŠK;Novo;3. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5611;RAZIGRANI ZVUCI 3 : udžbenik glazbene kulture s višemedijskim nastavnim materijalima na 2 CD-a u trećem razredu osnovne škole;Vladimir Jandrašek, Jelena Ivaci;udžbenik s 2 CD-a;57,00;ŠK;Novo;3. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4859;ZA STOLOM LJUBAVI I POMIRENJA : udžbenik za katolički vjeronauk trećega razreda osnovne škole;Ivica Pažin, Ante Pavlović i drugi;udžbenik;36,00;KS;Novo;3. razred osnovne škole
4860;ZA STOLOM LJUBAVI I POMIRENJA : radna bilježnica za katolički vjeronauk trećega razreda osnovne škole;Ivica Pažin, Ante Pavlović i drugi;radna bilježnica;34,00;KS;Novo;3. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST I JEZIK ;;;;;;;
3890;ZLATNA VRATA 3 : udžbenik hrvatskog jezika u 3. razredu osnovne škole : čitanka s pravopisom i gramatikom;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;63,00;ŠK;;3. razred osnovne škole
3574;ZLATNA VRATA 3 : radna bilježnica hrvatskog jezika u 3. razredu osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;49,00;ŠK;;3. razred osnovne škole
Osnovna škola - redovni program - 4. razred osnovne škole ;;;;;;;
MATEMATIKA ;;;;;;;
5688;MOJ SRETNI BROJ 4 : udžbenik matematike s višemedijskim nastavnim materijalima u četvrtom razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;udžbenik s višemedijskim nastavnim materijalima;60,00;ŠK;Novo;4. razred osnovne škole
5689;MOJ SRETNI BROJ 4 : radna bilježnica za matematiku u četvrtom razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;radna bilježnica;59,00;ŠK;Novo;4. razred osnovne škole
PRIRODA I DRUŠTVO ;;;;;;;
5745;NAŠ SVIJET 4 : udžbenik prirode i društva s višemedijskim nastavnim materijalima u četvrtom razredu osnovne škole;Tamara Kisovar Ivanda, Alena Letina, Ivo Nejašmić, Ivan De Zan , Božena Vranješ Šoljan;udžbenik s višemedijskim nastavnim materijalima;55,00;ŠK;Novo;4. razred osnovne škole
5746;NAŠ SVIJET 4 : radna bilježnica za prirodu i društvo u četvrtom razredu osnovne škole;Tamara Kisovar Ivanda, Alena Letina, Ivo Nejašmić, Ivan De Zan , Božena Vranješ Šoljan;radna bilježnica;59,00;ŠK;Novo;4. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5169;GLAZBENA ČETVRTICA : udžbenik glazbene kulture s tri cd-a za četvrti razred osnovne škole;Jelena Sikirica, Snježana Stojaković, Ana Miljak;udžbenik;72,00;PROFIL;Novo;4. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4861;NA PUTU VJERE : udžbenik za katolički vjeronauk četvrtoga razreda osnovne škole;Ivica Pažin i Ante Pavlović;udžbenik;40,00;KS;Novo;4. razred osnovne škole
4862;NA PUTU VJERE : radna bilježnica za katolički vjeronauk četvrtoga razreda osnovne škole;Ivica Pažin, Ante Pavlović;radna bilježnica;30,00;KS;Novo;4. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST I JEZIK ;;;;;;;
3575;ZLATNA VRATA 4 : radna bilježnica hrvatskog jezika u 4. razredu osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;49,00;ŠK;;4. razred osnovne škole
3891;ZLATNA VRATA 4 : udžbenik hrvatskog jezika u 4. razredu osnovne škole : čitanka s pravopisom i gramatikom;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;63,00;ŠK;;4. razred osnovne škole
ENGLESKI JEZIK - IV. GODINA UČENJA, I. STRANI JEZIK ;;;;;;;
5027;"PROJECT FOURTH EDITION, STUDENT'S BOOK 1 : udžbenik engleskog jezika za 4. razred, četvrta godina učenja; 5. razred, druga godina učenja";Tom Hutchinson;udžbenik;72,00;OXFORD;Novo;4. razred osnovne škole
5028;"PROJECT FOURTH EDITION, WORKBOOK WITH AUDIO CD 1 : radna bilježnica za engleski jezik u 4. razredu, četvrta godina učenja; 5. razred, druga godina učenja";Tom Hutchinson, Janet Hardy-Gould;radna bilježnica;59,99;OXFORD;Novo;4. razred osnovne škole
ENGLESKI JEZIK - I. GODINA UČENJA, II. STRANI JEZIK ;;;;;;;
81;WAY TO GO 1 : radna bilježnica engleskog jezika za 4. razred osnovne škole : I. godina učenja;Biserka Džeba;radna bilježnica;59,00;ŠK;;4. razred osnovne škole
82;WAY TO GO 1 : udžbenik engleskog jezika za 4. razred osnovne škole : I. godina učenja;Biserka Džeba;udžbenik;67,00;ŠK;;4. razred osnovne škole
NJEMAČKI JEZIK - IV. GODINA UČENJA, I. STRANI JEZIK ;;;;;;;
90;HURRA! DEUTSCH! 4 : udžbenik njemačkog jezika s interaktivnim CD-om za 4. razred osnovne škole : IV. godina učenja;Jadranka Salopek, Ljerka Tomljenović Biškupić;udžbenik s CD-om;60,00;ŠK;;4. razred osnovne škole
89;HURRA! DEUTSCH! 4 : radna bilježnica njemačkog jezika za 4. razred osnovne škole : IV. godina učenja;Jadranka Salopek, Ljerka Tomljenović Biškupić;radna bilježnica;46,00;ŠK;;4. razred osnovne škole
NJEMAČKI JEZIK - I. GODINA UČENJA, II. STRANI JEZIK ;;;;;;;
5706;FLINK MIT DEUTSCH - NEU! 1 : udžbenik njemačkog jezika s višemedijskim nastavnim materijalima u četvrtom razredu osnovne škole - 1. godina učenja;Jadranka Salopek, Plamenka Bernardi-Britvec, Jasmina Troha;udžbenik s višemedijskim nastavnim materijalima;64,00;ŠK;Novo;4. razred osnovne škole
5707;FLINK MIT DEUTSCH - NEU! 1 : radna bilježnica za njemački jezik u četvrtom razredu osnovne škole - 1. godina učenja;Jadranka Salopek, Plamenka Bernardi-Britvec, Jasmina Troha;radna bilježnica;49,00;ŠK;Novo;4. razred osnovne škole
Osnovna škola - redovni program - 5. razred osnovne škole ;;;;;;;
MATEMATIKA ;;;;;;;
5253;MATEMATIKA 5 : udžbenik i zbirka zadataka iz matematike za peti razred osnovne škole, 1. polugodište;Branko Goleš, Luka Krnić, Zlatko Lobor, Zvonimir Šikić;udžbenik sa zbirkom zadataka;63,00;PROFIL;Novo;5. razred osnovne škole
5254;MATEMATIKA 5 : udžbenik i zbirka zadataka iz matematike za peti razred osnovne škole, 2. polugodište;Branko Goleš, Luka Krnić, Zlatko Lobor, Zvonimir Šikić;udžbenik sa zbirkom zadataka;62,00;PROFIL;Novo;5. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5170;GLAZBENA PETICA : udžbenik glazbene kulture s tri cd-a za peti razred osnovne škole;Saša Marić, Ljiljana Ščedrov;udžbenik;72,00;PROFIL;Novo;5. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4863;JA SAM PUT : udžbenik za katolički vjeronauk petoga razreda osnovne škole;Ružica Razum i autorski tim;udžbenik;40,00;KS;Novo;5. razred osnovne škole
4864;JA SAM PUT : radna bilježnica za katolički vjeronauk petoga razreda osnovne škole;Ružica Razum, Martina Rašpolić, Verica Razum Hrmo;radna bilježnica;34,00;KS;Novo;5. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST ;;;;;;;
5650;SNAGA RIJEČI 5 : hrvatska čitanka s višemedijskim nastavnim materijalima u petom razredu osnovne škole;Anita Šojat;udžbenik s višemedijskim nastavnim materijalima;75,00;ŠK;Novo;5. razred osnovne škole
HRVATSKI JEZIK - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
5209;VOLIMO HRVATSKI! 5 : udžbenik hrvatskoga jezika za peti razred osnovne škole;Anđelka Rihtarić, Marina Marijačić, Julijana Levak;udžbenik;57,00;PROFIL;Novo;5. razred osnovne škole
5210;VOLIMO HRVATSKI! 5 : radna bilježnica iz hrvatskoga jezika za peti razred osnovne škole;Anđelka Rihtarić, Marina Marijačić, Julijana Levak;radna bilježnica;47,00;PROFIL;Novo;5. razred osnovne škole
ENGLESKI JEZIK - V. GODINA UČENJA, I. STRANI JEZIK ;;;;;;;
5573;WAY TO GO 2 PLUS : udžbenik engleskog jezika s višemedijskim nastavnim materijalom u petom razredu osnovne škole - 5. godina učenja;Višnja Anić;udžbenik s višemedijskim nastavnim materijalima;67,00;ŠK;Novo;5. razred osnovne škole
5574;WAY TO GO 2 PLUS : radna bilježnica za engleski jezik u petom razredu osnovne škole - 5. godina učenja;Višnja Anić;radna bilježnica;59,00;ŠK;Novo;5. razred osnovne škole
ENGLESKI JEZIK - II. GODINA UČENJA, II. STRANI JEZIK ;;;;;;;
178;WAY TO GO 2 : udžbenik engleskog jezika za 5. razred osnovne škole : II. godina učenja;Višnja Anić;udžbenik;67,00;ŠK;;5. razred osnovne škole
177;WAY TO GO 2 : radna bilježnica engleskog jezika za 5. razred osnovne škole : II. godina učenja;Višnja Anić;radna bilježnica;59,00;ŠK;;5. razred osnovne škole
NJEMAČKI JEZIK - V. GODINA UČENJA, I. STRANI JEZIK ;;;;;;;
184;HURRA! DEUTSCH! 5 : udžbenik njemačkog jezika s interaktivnim CD-om za 5. razred osnovne škole : V. godina učenja;Jadranka Salopek, Ljerka Tomljenović Biškupić;udžbenik s CD-om;60,00;ŠK;;5. razred osnovne škole
183;HURRA! DEUTSCH! 5 : radna bilježnica njemačkog jezika za 5. razred osnovne škole : V. godina učenja;Jadranka Salopek, Ljerka Tomljenović Biškupić;radna bilježnica;46,00;ŠK;;5. razred osnovne škole
NJEMAČKI JEZIK - II. GODINA UČENJA, II. STRANI JEZIK ;;;;;;;
5708;FLINK MIT DEUTSCH - NEU! 2 : udžbenik njemačkog jezika s višemedijskim nastavnim materijalima u petom razredu osnovne škole - 2. godina učenja;Jadranka Salopek, Plamenka Bernardi-Britvec, Jasmina Troha;udžbenik s višemedijskim nastavnim materijalima;64,00;ŠK;Novo;5. razred osnovne škole
5709;FLINK MIT DEUTSCH - NEU! 2 : radna bilježnica za njemački jezik u petom razredu osnovne škole - 2. godina učenja;Jadranka Salopek, Plamenka Bernardi-Britvec, Jasmina Troha;radna bilježnica;49,00;ŠK;Novo;5. razred osnovne škole
PRIRODA ;;;;;;;
4626;PRIRODA 5 : udžbenik iz prirode za peti razred osnovne škole;Marijana Bastić, Ruža Bule, Daniela Novoselić;udžbenik;60,00;ALFA;Novo;5. razred osnovne škole
4627;PRIRODA 5 : radna biljeznica iz prirode za peti razred osnovne škole;Marijana Bastić, Ruža Bule, Daniela Novoselić, Valerija Begić;radna bilježnica;43,00;ALFA;Novo;5. razred osnovne škole
GEOGRAFIJA ;;;;;;;
5601;GEA 1 : udžbenik geografije s višemedijskim nastavnim materijalima u petom razredu osnovne škole;Milan Ilić, Danijel Orešić;udžbenik s višemedijskim nastavnim materijalima;61,00;ŠK;Novo;5. razred osnovne škole
5602;GEA 1 : radna bilježnica za geografiju u petom razredu osnovne škole;Milan Ilić, Danijel Orešić;radna bilježnica;45,00;ŠK;Novo;5. razred osnovne škole
POVIJEST ;;;;;;;
5727;TRAGOM PROŠLOSTI 5 : udžbenik povijesti s višemedijskim nastavnim materijalima u petom razredu osnovne škole;Sonja Bančić, Sanja Cerovski, Štefica Paladino;udžbenik s višemedijskim nastavnim materijalima;62,00;ŠK;Novo;5. razred osnovne škole
5728;TRAGOM PROŠLOSTI 5 : radna bilježnica za povijest u petom razredu osnovne škole;Sonja Bančić, Sanja Cerovski, Štefica Paladino;radna bilježnica;57,00;ŠK;Novo;5. razred osnovne škole
LIKOVNA KULTURA ;;;;;;;
5233;POGLED, POTEZ 5 : udžbenik likovne kulture za peti razred osnovne škole;Ana Šobat, Martina Kosec, Jurana Linarić, Emina Mijatović, Zdenka Bilušić, Dijana Nazor;udžbenik;34,00;PROFIL;Novo;5. razred osnovne škole
TEHNIČKA KULTURA ;;;;;;;
5761;ČUDESNI SVIJET TEHNIKE 5 : udžbenik tehničke kulture s višemedijskim nastavnim materijalima u petom razredu osnovne škole;Gordan Bartolić, Vladimir Delić, Andrija Gregurić, Zvonko Koprivnjak, Sanja Kovačević, Antun Ptičar, Dragan Stanojević, Svjetlana Urbanek;udžbenik s višemedijskim nastavnim materijalima;54,00;ŠK;Novo;5. razred osnovne škole
5762;ČUDESNI SVIJET TEHNIKE 5 : radni materijali za izvođenje vježbi i praktičnog rada iz tehničke kulture u petom razredu osnovne škole;Gordan Bartolić, Vladimir Delić, Andrija Gregurić, Zvonko Koprivnjak, Sanja Kovačević, Antun Ptičar, Dragan Stanojević, Svjetlana Urbanek;radni materijal;79,00;ŠK;Novo;5. razred osnovne škole
INFORMATIKA - IZBORNI PREDMET ;;;;;;;
5666;MOJ PORTAL 3.0, 5 : udžbenik informatike s višemedijskim nastavnim materijalima u petom razredu osnovne škole;Magdalena Babić, Nikolina Bubica, Stanko Leko, Mario Stančić, Branko Vejnović;udžbenik s višemedijskim nastavnim materijalima;66,00;ŠK;Novo;5. razred osnovne škole
GEOGRAFSKI ATLASI ;;;;;;;
4778;GEOGRAFSKI ATLAS ZA OSNOVNU ŠKOLU;Snježana Haiman, Vera Müller;geografski atlas;135,00;HŠK, ŠK;Novo;5. razred osnovne škole
Osnovna škola - redovni program - 6. razred osnovne škole ;;;;;;;
MATEMATIKA ;;;;;;;
5255;MATEMATIKA 6 : udžbenik i zbirka zadataka iz matematike za šesti razred osnovne škole, 1. polugodište;Vesna Draženović-Žitko, Luka Krnić, Maja Marić, Zvonimir Šikić;udžbenik sa zbirkom zadataka;63,00;PROFIL;Novo;6. razred osnovne škole
5256;MATEMATIKA 6 : udžbenik i zbirka zadataka iz matematike za šesti razred osnovne škole, 2. polugodište;Vesna Draženović-Žitko, Luka Krnić, Maja Marić, Zvonimir Šikić;udžbenik sa zbirkom zadataka;62,00;PROFIL;Novo;6. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5171;GLAZBENA ŠESTICA : udžbenik glazbene kulture s tri cd-a za šesti razred osnovne škole;Jelena Sikirica, Saša Marić;udžbenik;72,00;PROFIL;Novo;6. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4865;POZVANI NA SLOBODU : udžbenik za katolički vjeronauk šestoga razreda osnovne škole;Ružica Razum i autorski tim;udžbenik;40,00;KS;Novo;6. razred osnovne škole
4866;POZVANI NA SLOBODU : radna bilježnica za katolički vjeronauk šestoga razreda osnovne škole;Ružica Razum i autorski tim;radna bilježnica;32,00;KS;Novo;6. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST ;;;;;;;
5651;SNAGA RIJEČI 6 : hrvatska čitanka s višemedijskim nastavnim materijalima u šestom razredu osnovne škole;Anita Šojat;udžbenik s višemedijskim nastavnim materijalima;75,00;ŠK;Novo;6. razred osnovne škole
HRVATSKI JEZIK - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
5211;VOLIMO HRVATSKI! 6 : udžbenik hrvatskoga jezika za šesti razred osnovne škole;Anđelka Rihtarić, Marina Marijačić, Danuška Ružić;udžbenik;57,00;PROFIL;Novo;6. razred osnovne škole
5212;VOLIMO HRVATSKI! 6 : radna bilježnica iz hrvatskoga jezika za šesti razred osnovne škole;Anđelka Rihtarić, Marina Marijačić, Danuška Ružić;radna bilježnica;47,00;PROFIL;Novo;6. razred osnovne škole
PRIRODA ;;;;;;;
4628;PRIRODA 6 : udžbenik iz prirode za šesti razred osnovne škole;Marijana Bastić, Ruža Bule, Mila Bulić, Daniela Novoselić;udžbenik;60,00;ALFA;Novo;6. razred osnovne škole
4629;PRIRODA 6 : radna bilježnica iz prirode za šesti razred osnovne škole;Marijana Bastić, Ruža Bule, Mila Bulić, Valerija Begić, Julijana Madaj Prpić, Daniela Novoselić;radna bilježnica;43,00;ALFA;Novo;6. razred osnovne škole
GEOGRAFIJA ;;;;;;;
5603;GEA 2 : udžbenik geografije s višemedijskim nastavnim materijalima u šestom razredu osnovne škole;Milan Ilić, Danijel Orešić;udžbenik s višemedijskim nastavnim materijalima;61,00;ŠK;Novo;6. razred osnovne škole
5604;GEA 2 : radna bilježnica za geografiju u šestom razredu osnovne škole;Milan Ilić, Danijel Orešić;radna bilježnica;45,00;ŠK;Novo;6. razred osnovne škole
POVIJEST ;;;;;;;
5729;TRAGOM PROŠLOSTI 6 : udžbenik povijesti s višemedijskim nastavnim materijalima u šestom razredu osnovne škole;Željko Brdal, Margita Madunić;udžbenik s višemedijskim nastavnim materijalima;62,00;ŠK;Novo;6. razred osnovne škole
5730;TRAGOM PROŠLOSTI 6 : radna bilježnica za povijest u šestom razredu osnovne škole;Željko Brdal, Margita Madunić;radna bilježnica;57,00;ŠK;Novo;6. razred osnovne škole
LIKOVNA KULTURA ;;;;;;;
5234;POGLED, POTEZ 6 : udžbenik likovne kulture za šesti razred osnovne škole;Ana Šobat, Martina Kosec, Jurana Linarić, Emina Mijatović, Zdenka Bilušić, Dijana Nazor;udžbenik;34,00;PROFIL;Novo;6. razred osnovne škole
TEHNIČKA KULTURA ;;;;;;;
