Tip ustanove:;Osnovna škola;;;;;;
Županija:;Sisačko-Moslavačka;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Dvor;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
4864;JA SAM PUT : radna bilježnica za katolički vjeronauk petoga razreda osnovne škole;Ružica Razum, Martina Rašpolić, Verica Razum Hrmo;radna bilježnica;34,00;KS;Novo;5. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST I JEZIK ;;;;;;;
5655;KOCKA VEDRINE 5 - 2. DIO : integrirani udžbenik hrvatskog jezika i književnosti s višemedijskim nastavnim materijalima u petom razredu osnovne škole;Lada Franić-Glamuzina, Dijana Grbaš Jakšić, Igor Matijašić , Irena Peić, Ina Randić Đorđević, Milena Žic, Zrinka Katalinić, Marica Motik, Maša Rimac, Senka Sušac, Emilia Haukka;udžbenik s višemedijskim nastavnim materijalima;62,00;ŠK;Novo;5. razred osnovne škole
5656;KOCKA VEDRINE 5 : radna bilježnica uz integrirani udžbenik hrvatskog jezika i književnosti u petom razredu osnovne škole;Lada Franić-Glamuzina, Dijana Grbaš Jakšić, Igor Matijašić , Irena Peić, Ina Randić Đorđević, Milena Žic, Zrinka Katalinić, Marica Motik, Maša Rimac, Senka Sušac, Emilia Haukka;radna bilježnica;54,00;ŠK;Novo;5. razred osnovne škole
5654;KOCKA VEDRINE 5 - 1. DIO : integrirani udžbenik hrvatskog jezika i književnosti s višemedijskim nastavnim materijalima u petom razredu osnovne škole;Lada Franić-Glamuzina, Dijana Grbaš Jakšić, Igor Matijašić , Irena Peić, Ina Randić Đorđević, Milena Žic, Zrinka Katalinić, Marica Motik, Maša Rimac, Senka Sušac, Emilia Haukka;udžbenik s višemedijskim nastavnim materijalima;62,00;ŠK;Novo;5. razred osnovne škole
ENGLESKI JEZIK - IV. GODINA UČENJA, I. STRANI JEZIK ;;;;;;;
5027;"PROJECT FOURTH EDITION, STUDENT'S BOOK 1 : udžbenik engleskog jezika za 4. razred, četvrta godina učenja; 5. razred, druga godina učenja";Tom Hutchinson;udžbenik;72,00;OXFORD;Novo;5. razred osnovne škole
5028;"PROJECT FOURTH EDITION, WORKBOOK WITH AUDIO CD 1 : radna bilježnica za engleski jezik u 4. razredu, četvrta godina učenja; 5. razred, druga godina učenja";Tom Hutchinson, Janet Hardy-Gould;radna bilježnica;59,99;OXFORD;Novo;5. razred osnovne škole
NJEMAČKI JEZIK - V. GODINA UČENJA, I. STRANI JEZIK ;;;;;;;
182;DEUTSCH MIT HÄNSEL 2 : njemački jezik za 5. razred osnovne škole, 5. godina učenja;Sanja Ivančić, Petra Turmišov;udžbenik;74,47;NEODIDACTA;;5. razred osnovne škole
181;DEUTSCH MIT HÄNSEL 2 : njemački jezik za 5. razred osnovne škole : 5. godina učenja : radna bilježnica s audio CD-om;Sanja Ivančić, Petra Turmišov;radna bilježnica s audio CD-om;74,47;NEODIDACTA;;5. razred osnovne škole
PRIRODA ;;;;;;;
5736;PRIRODA 5 : radna bilježnica za prirodu u petom razredu osnovne škole;Damir Bendelja, Marijana Gudić, Edina Operta;radna bilježnica;49,00;ŠK;Novo;5. razred osnovne škole
5735;PRIRODA 5 : udžbenik prirode s višemedijskim nastavnim materijalima u petom razredu osnovne škole;Damir Bendelja, Marijana Gudić, Lydia Lugar, Edina Operta;udžbenik s višemedijskim nastavnim materijalima;63,00;ŠK;Novo;5. razred osnovne škole
GEOGRAFIJA ;;;;;;;
5154;GEOGRAFIJA 5 : udžbenik geografije za peti razred osnovne škole;Vesna Janko, Renata Kanceljak, Ivan Paradi, Tatjana Somer;udžbenik;60,00;PROFIL;Novo;5. razred osnovne škole
