98;OSNOVNA ŠKOLA BRAĆA BOBETKO SISAK;SISAČKO-MOSLAVAČKA
99;OSNOVNA ŠKOLA BRAĆA RIBAR;SISAČKO-MOSLAVAČKA
100;OSNOVNA ŠKOLA VIKTOROVAC;SISAČKO-MOSLAVAČKA
101;OSNOVNA ŠKOLA GALDOVO;SISAČKO-MOSLAVAČKA
102;OSNOVNA ŠKOLA SELA;SISAČKO-MOSLAVAČKA
103;OSNOVNA ŠKOLA BUDAŠEVO-TOPOLOVAC-GUŠĆE;SISAČKO-MOSLAVAČKA
104;OSNOVNA ŠKOLA KOMAREVO;SISAČKO-MOSLAVAČKA
105;OSNOVNA ŠKOLA GVOZD;SISAČKO-MOSLAVAČKA
106;OSNOVNA ŠKOLA JOSIPA KOZARCA;SISAČKO-MOSLAVAČKA
107;OSNOVNA ŠKOLA MLADOST;SISAČKO-MOSLAVAČKA
108;OSNOVNA ŠKOLA BRAĆA RADIĆ;SISAČKO-MOSLAVAČKA
109;OSNOVNA ŠKOLA JASENOVAC;SISAČKO-MOSLAVAČKA
110;OSNOVNA ŠKOLA JABUKOVAC;SISAČKO-MOSLAVAČKA
111;OSNOVNA ŠKOLA POPOVAČA;SISAČKO-MOSLAVAČKA
112;OSNOVNA ŠKOLA LUDINA;SISAČKO-MOSLAVAČKA
113;OSNOVNA ŠKOLA SUNJA;SISAČKO-MOSLAVAČKA
114;OSNOVNA ŠKOLA VLADIMIR NAZOR TOPUSKO;SISAČKO-MOSLAVAČKA
115;OSNOVNA ŠKOLA KATARINA ZRINSKA MEČENČANI;SISAČKO-MOSLAVAČKA
116;OSNOVNA ŠKOLA IVO KOZARČANIN;SISAČKO-MOSLAVAČKA
117;OSNOVNA ŠKOLA VLADIMIR NAZOR;KARLOVAČKA
118;OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ;KARLOVAČKA
119;OSNOVNA ŠKOLA BANIJA;KARLOVAČKA
120;OSNOVNA ŠKOLA REČICA;KARLOVAČKA
121;OSNOVNA ŠKOLA ŠVARČA;KARLOVAČKA
122;OSNOVNA ŠKOLA GRABRIK;KARLOVAČKA
123;OSNOVNA ŠKOLA DUBOVAC;KARLOVAČKA
124;OSNOVNA ŠKOLA TURANJ;KARLOVAČKA
125;OSNOVNA ŠKOLA MAHIČNO;KARLOVAČKA
126;OSNOVNA ŠKOLA DRAGOJLE JARNEVIĆ;KARLOVAČKA
127;CENTAR ZA ODGOJ I OBRAZOVANJE DJECE I MLADEŽI;KARLOVAČKA
128;OSNOVNA ŠKOLA BRAĆA SELJAN;KARLOVAČKA
129;OSNOVNA ŠKOLA SKAKAVAC;KARLOVAČKA
130;PRVA OSNOVNA ŠKOLA;KARLOVAČKA
131;OSNOVNA ŠKOLA IVANE BRLIĆ - MAŽURANIĆ OGULIN;KARLOVAČKA
132;OSNOVNA ŠKOLA SLAVA RAŠKAJ;KARLOVAČKA
133;OSNOVNA ŠKOLA SLUNJ;KARLOVAČKA
134;OSNOVNA ŠKOLA VOJNIĆ;KARLOVAČKA
135;OSNOVNA ŠKOLA ˝ANTUN KLASINC˝ LASINJA;KARLOVAČKA
136;OSNOVNA ŠKOLA BARILOVIĆ;KARLOVAČKA
137;OSNOVNA ŠKOLA CETINGRAD;KARLOVAČKA
138;OSNOVNA ŠKOLA DRAGANIĆI;KARLOVAČKA
139;OSNOVNA ŠKOLA GENERALSKI STOL;KARLOVAČKA
140;OSNOVNA ŠKOLA KATARINE ZRINSKI;KARLOVAČKA
141;OSNOVNA ŠKOLA NETRETIĆ;KARLOVAČKA
142;OSNOVNA ŠKOLA JOSIPDOL;KARLOVAČKA
143;OSNOVNA ŠKOLA PLAŠKI;KARLOVAČKA
144;OSNOVNA ŠKOLA EUGENA KVATERNIKA;KARLOVAČKA
145;OSNOVNA ŠKOLA ŽAKANJE;KARLOVAČKA
146;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA SAKCINSKOG;VARAŽDINSKA
147;OSNOVNA ŠKOLA METEL OŽEGOVIĆ;VARAŽDINSKA
148;OSNOVNA ŠKOLA LUDBREG;VARAŽDINSKA
149;OSNOVNA ŠKOLA NOVI MAROF;VARAŽDINSKA
150;OSNOVNA ŠKOLA PODRUTE;VARAŽDINSKA
151;I. OSNOVNA ŠKOLA VARAŽDIN;VARAŽDINSKA
152;II. OSNOVNA ŠKOLA VARAŽDIN;VARAŽDINSKA
153;III. OSNOVNA ŠKOLA VARAŽDIN;VARAŽDINSKA
154;IV. OSNOVNA ŠKOLA VARAŽDIN;VARAŽDINSKA
155;V. OSNOVNA ŠKOLA VARAŽDIN;VARAŽDINSKA
156;VI. OSNOVNA ŠKOLA VARAŽDIN;VARAŽDINSKA
157;CENTAR ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;VARAŽDINSKA
158;VII. OSNOVNA ŠKOLA VARAŽDIN;VARAŽDINSKA
159;GLAZBENA ŠKOLA U VARAŽDINU;VARAŽDINSKA
160;OSNOVNA ŠKOLA CESTICA;VARAŽDINSKA
