Tip ustanove:;Srednja škola;;;;;;
Županija:;Karlovačka;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
SREDNJA ŠKOLA DUGA RESA;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
5391;ČITANKA 2 : čitanka u drugom razredu četverogodišnje srednje strukovne škole;Marina Čubrić, Davorka Horvatek-Modrić, Ruža Križan-Sirovica;udžbenik;103,00;ŠK;Novo;2. razred srednje škole
HRVATSKI JEZIK - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
4455;HRVATSKI JEZIK (BUKI) : udžbenik iz hrvatskoga jezika za drugi razred četverogodišnjih strukovnih škola;Snježana Zrinjan, Nataša Sajko;udžbenik;110,00;ALFA;Novo;2. razred srednje škole
MATEMATIKA - ZA DVOGODIŠNJE I TROGODIŠNJE PROGRAME ;;;;;;;
1572;MATEMATIKA 2 : udžbenik i zbirka zadataka za 2. razred trogodišnjih strukovnih škola;Sanja Varošanec;udžbenik i zbirka zadataka;111,00;ELEMENT;;2. razred srednje škole
ŠKOLE PRIMIJENJENE UMJETNOSTI ;;;;;;;
4302;GRAFIČKE TEHNIKE : udžbenik za srednje škole s programima vizualnih umjetnosti i dizajna;Carmen Bačura Potočić;udžbenik;99,00;ŠK;Novo;2. razred srednje škole
Opća gimnazija - 2. razred srednje škole ;;;;;;;
HRVATSKI JEZIK - KNJIŽEVNOST ;;;;;;;
5499;ČITANKA 2 : čitanka u drugom razredu gimnazije;skupina autora;udžbenik;106,00;ŠK;Novo;2. razred srednje škole
HRVATSKI JEZIK - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
5504;UČIMO HRVATSKI JEZIK 2 : udžbenik hrvatskog jezika u drugom razredu gimnazije;Snježana Gabelić;udžbenik;72,00;ŠK;Novo;2. razred srednje škole
5505;UČIMO HRVATSKI JEZIK 2 : radna bilježnica za hrvatski jezik u drugom razredu gimnazije;Snježana Gabelić;radna bilježnica;36,00;ŠK;Novo;2. razred srednje škole
GEOGRAFIJA ;;;;;;;
4895;GEOGRAFIJA 2 : udžbenik iz geografije za II. razred gimnazije;Romana Dužanec, Suzana Nebeski Hostić, Željka Polan;udžbenik;99,00;MERIDIJANI;Novo;2. razred srednje škole
POVIJEST ;;;;;;;
5555;KORACI KROZ VRIJEME 2 : udžbenik povijesti u drugom razredu gimnazije;Željko Samaržija, Denis Detling;udžbenik;109,00;ŠK;Novo;2. razred srednje škole
BIOLOGIJA ;;;;;;;
4461;BIOLOGIJA 2 : udžbenik iz biologije za drugi razred gimnazije;Irella Bogut, Irena Futivić, Marija Špoljarević, Ana Bakarić;udžbenik;100,00;ALFA;Novo;2. razred srednje škole
4462;BIOLOGIJA 2 : radna bilježnica iz biologije za drugi razred gimnazije;Irella Bogut, Irena Futivić, Marija Špoljarević, Mihaela Marceljak Ilić;radna bilježnica;72,00;ALFA;Novo;2. razred srednje škole
KEMIJA ;;;;;;;
4485;KEMIJA 2 : udžbenik iz kemije za drugi razred gimnazije;Gordana Pavlović, Ljiljana Kovačević;udžbenik;106,00;ALFA;Novo;2. razred srednje škole
4486;KEMIJA 2 : zbirka zadataka iz kemije za drugi razred gimnazije;Gordana Pavlović;zbirka zadataka;60,00;ALFA;Novo;2. razred srednje škole
ENGLESKI JEZIK - PRVI STRANI JEZIK ;;;;;;;
4985;"NEW HEADWAY FOURTH EDITION INTERMEDIATE STUDENT'S BOOK : udžbenik engleskog jezika za 1. i 2. razred gimnazija i 4-god. strukovnih škola, prvi strani jezik; 2. i 3. razred 4-god. strukovnih škola, prvi strani jezik; 4. razred gimnazija i 4-god. strukovnih škola, drugi strani jezik";John Soars, Liz Soars;udžbenik;101,00;OXFORD;Novo;2. razred srednje škole
4986;"NEW HEADWAY FOURTH EDITION INTERMEDIATE WORKBOOK A : radna bilježnica za engleski jezik, 1. razred gimnazija i 4-god. strukovnih škola, prvi strani jezik; 2. razred 4-god. strukovnih škola, prvi strani jezik; 4. razred gimnazija i 4-god. strukovnih škola, drugi strani jezik";John Soars, Liz Soars;radna bilježnica;62,00;OXFORD;Novo;2. razred srednje škole
4987;"NEW HEADWAY FOURTH EDITION INTERMEDIATE WORKBOOK B : radna bilježnica za engleski jezik, 2. razred gimnazija i 4-god. strukovnih škola, prvi strani jezik; 3. razred 4-god. strukovnih škola, prvi strani jezik; 4. razred gimnazija i 4-god. strukovnih škola, drugi strani jezik";John Soars, Liz Soars;radna bilježnica;62,00;OXFORD;Novo;2. razred srednje škole
NJEMAČKI JEZIK - PRVI STRANI JEZIK ;;;;;;;
2420;AUSBLICK 1, BRÜCKENKURS : udžbenik njemačkog jezika za 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 1. strani jezik;Anni Fischer-Mitziviris, Sylvia Janke-Papanikolaou;udžbenik;94,00;ALGORITAM;;2. razred srednje škole
