Tip ustanove:;Srednja škola;;;;;;
Županija:;Istarska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
"SREDNJA ŠKOLA ""VLADIMIR GORTAN"" - SCUOLA MEDIA SUPERIORE ""VLADIMIR GORTAN""";;;;;Mišljenje Vijeća roditelja: nije dostavljeno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
1691;HRVATSKA I SVIJET 1 : udžbenik povijesti za 1. razred četverogodišnjih strukovnih škola;Zdenko Samaržija;udžbenik;97,00;ŠK;;1. razred srednje škole
UGOSTITELJSKE I TURISTIČKE ŠKOLE ;;;;;;;
2240;UGOSTITELJSTVO : udžbenik za 1. razred za zanimanje hotelijersko-turističkog tehničara;Slavko Ratkajec;udžbenik;115,00;ŠK;;1. razred srednje škole
2185;PISANE POSLOVNE KOMUNIKACIJE U TURIZMU : udžbenik za 1. razred hotelijersko-turističkih škola;Nada Eterović, Olivera Jurković-Majić;udžbenik;105,00;ŠK;;1. razred srednje škole
3156;OSNOVE TURIZMA : udžbenik za 1. razred hotelijersko-turističkih škola;Sandra Čorak, Vesna Mikačić, Željko Trezner;udžbenik;105,00;ŠK;;1. razred srednje škole
1304;PREHRANA I POZNAVANJE ROBE : udžbenik za 1. razred hotelijersko-turističkih i ugostiteljsko-turističkih škola;Darka Hamel, Ljiljana Tanay;udžbenik;114,00;ŠK;;1. razred srednje škole
Opća gimnazija - 1. razred srednje škole ;;;;;;;
HRVATSKI JEZIK - KNJIŽEVNOST ;;;;;;;
841;KNJIŽEVNI VREMEPLOV 1 : čitanka za 1. razred gimnazije;Dragica Dujmović-Markusi;udžbenik;110,00;PROFIL;;1. razred srednje škole
HRVATSKI JEZIK - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
5502;UČIMO HRVATSKI JEZIK 1 : udžbenik hrvatskog jezika u prvom razredu gimnazije;Marina Čubrić;udžbenik;72,00;ŠK;Novo;1. razred srednje škole
5503;UČIMO HRVATSKI JEZIK 1 : radna bilježnica za hrvatski jezik u prvom razredu gimnazije;Marina Čubrić;radna bilježnica;36,00;ŠK;Novo;1. razred srednje škole
GEOGRAFIJA ;;;;;;;
5489;GEOGRAFIJA 1 : udžbenik geografije u prvom razredu gimnazije;Hermenegildo Gall, Predrag Kralj, Robert Slunjski;udžbenik;105,00;ŠK;Novo;1. razred srednje škole
POVIJEST ;;;;;;;
5554;KORACI KROZ VRIJEME 1 : udžbenik povijesti u prvom razredu gimnazije;Karolina Ujaković, Svjetlana Vorel;udžbenik;109,00;ŠK;Novo;1. razred srednje škole
BIOLOGIJA ;;;;;;;
5475;ŽIVOT 1 : radna bilježnica za biologiju u prvom razredu gimnazije;Žaklin Lukša;radna bilježnica;69,00;ŠK;Novo;1. razred srednje škole
5474;ŽIVOT 1 : udžbenik biologije u prvom razredu gimnazije;Marijana Krsnik-Rasol, Mladen Krajačić, Žaklin Lukša;udžbenik;96,00;ŠK;Novo;1. razred srednje škole
KEMIJA ;;;;;;;
5513;OPĆA KEMIJA 1 : zbirka zadataka za kemiju u prvom razredu gimnazije;Ilda Planinić;zbirka zadataka;73,00;ŠK;Novo;1. razred srednje škole
5512;OPĆA KEMIJA 1 : udžbenik kemije u prvom razredu gimnazije;Dubravka Turčinović, Ivan Halasz;udžbenik;105,00;ŠK;Novo;1. razred srednje škole
ENGLESKI JEZIK - PRVI STRANI JEZIK ;;;;;;;
